longitude,latitude,housing_median_age,average_rooms,average_bedrooms,population,households,median_income,median_house_value,ocean_proximity,ocean_proximity=NEAR BAY,ocean_proximity=<1H OCEAN,ocean_proximity=INLAND,ocean_proximity=NEAR OCEAN,ocean_proximity=ISLAND
-0.9829513470044231,0.902979737783075,41.0,6.984126984126984,1.0238095238095237,322.0,126.0,8.3252,452600.0,NEAR BAY,1,0,0,0,0
-0.9828709288299156,0.902502979737783,21.0,6.238137082601054,0.9718804920913884,2401.0,1138.0,8.3014,358500.0,NEAR BAY,1,0,0,0,0
-0.9830317651789304,0.902264600715137,52.0,8.288135593220339,1.073446327683616,496.0,177.0,7.2574,352100.0,NEAR BAY,1,0,0,0,0
-0.983112183353438,0.902264600715137,52.0,5.8173515981735155,1.0730593607305936,558.0,219.0,5.6431,341300.0,NEAR BAY,1,0,0,0,0
-0.983112183353438,0.902264600715137,52.0,6.281853281853282,1.0810810810810811,565.0,259.0,3.8462,342200.0,NEAR BAY,1,0,0,0,0
-0.983112183353438,0.902264600715137,52.0,4.761658031088083,1.1036269430051813,413.0,193.0,4.0368,269700.0,NEAR BAY,1,0,0,0,0
-0.983112183353438,0.902026221692491,52.0,4.9319066147859925,0.9513618677042801,1094.0,514.0,3.6591,299200.0,NEAR BAY,1,0,0,0,0
-0.983112183353438,0.902026221692491,52.0,4.797527047913447,1.061823802163833,1157.0,647.0,3.12,241400.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902026221692491,42.0,4.294117647058823,1.1176470588235294,1206.0,595.0,2.0804,226700.0,NEAR BAY,1,0,0,0,0
-0.983112183353438,0.902026221692491,52.0,4.970588235294118,0.9901960784313726,1551.0,714.0,3.6912,261100.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902264600715137,52.0,5.477611940298507,1.0796019900497513,910.0,402.0,3.2031,281500.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902264600715137,52.0,4.772479564032698,1.0245231607629428,1504.0,734.0,3.2705,241800.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902264600715137,52.0,5.322649572649572,1.0128205128205128,1098.0,468.0,3.075,213500.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902026221692491,52.0,4.0,1.0977011494252873,345.0,174.0,2.6736,191300.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902264600715137,52.0,4.262903225806451,1.0096774193548388,1212.0,620.0,1.9167,159200.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902264600715137,50.0,4.242424242424242,1.071969696969697,697.0,264.0,2.125,140000.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902264600715137,52.0,5.9395770392749245,1.0483383685800605,793.0,331.0,2.775,152500.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902264600715137,52.0,4.052805280528053,0.966996699669967,648.0,303.0,2.1202,155500.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902026221692491,50.0,5.343675417661098,1.0859188544152745,990.0,419.0,1.9911,158700.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902026221692491,52.0,5.465454545454546,1.0836363636363637,690.0,275.0,2.6033,162900.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902264600715137,40.0,4.524096385542169,1.108433734939759,409.0,166.0,1.3578,147500.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902264600715137,42.0,4.478142076502732,1.0027322404371584,929.0,366.0,1.7135,159800.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902026221692491,52.0,5.096234309623431,1.1317991631799162,1015.0,478.0,1.725,113900.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902026221692491,52.0,5.193846153846154,1.0369230769230768,853.0,325.0,2.1806,99700.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902026221692491,52.0,5.270142180094787,1.0355450236966826,1006.0,422.0,2.6,132600.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902264600715137,41.0,4.495798319327731,1.0336134453781514,317.0,119.0,2.4038,107500.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902264600715137,49.0,4.7280334728033475,1.0209205020920502,607.0,239.0,2.4597,93800.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902264600715137,52.0,4.7808564231738035,1.0604534005037782,1102.0,397.0,1.808,105500.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902026221692491,50.0,4.40169133192389,1.040169133192389,1131.0,473.0,1.6424,108900.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902026221692491,52.0,4.703225806451613,1.032258064516129,395.0,155.0,1.6875,132000.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902026221692491,49.0,5.068783068783069,1.1825396825396826,863.0,378.0,1.9274,122300.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.902026221692491,52.0,4.882086167800454,1.090702947845805,1168.0,441.0,1.9615,115200.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.902026221692491,48.0,5.737313432835821,1.2208955223880598,1026.0,335.0,1.7969,110400.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.9017878426698449,49.0,5.0303951367781155,1.1124620060790273,754.0,329.0,1.375,104900.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.9017878426698449,51.0,4.972014925373134,1.0708955223880596,1258.0,536.0,2.7303,109700.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.9017878426698449,49.0,4.6022727272727275,1.0681818181818181,570.0,264.0,1.4861,97200.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.9017878426698449,48.0,4.807486631016043,1.1550802139037433,987.0,374.0,1.0972,104500.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.9017878426698449,52.0,3.7493796526054592,0.967741935483871,901.0,403.0,1.4103,103900.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,52.0,4.757281553398058,1.0679611650485437,689.0,309.0,3.48,191400.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,52.0,3.4942528735632186,1.0272988505747127,1377.0,696.0,2.5898,176000.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,52.0,4.215189873417722,1.0607594936708862,946.0,395.0,2.0978,155400.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,51.0,3.7590361445783134,1.248995983935743,517.0,249.0,1.2852,150000.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902026221692491,49.0,3.7724867724867726,1.0687830687830688,462.0,189.0,1.025,118800.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.902026221692491,52.0,4.797979797979798,1.02020202020202,467.0,198.0,3.9643,188800.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,52.0,4.941780821917808,1.0650684931506849,660.0,292.0,3.0125,184400.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,52.0,4.335078534031414,1.0994764397905759,718.0,382.0,2.6768,182300.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.9017878426698449,50.0,3.700657894736842,1.0592105263157894,616.0,304.0,2.026,142500.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.901549463647199,43.0,3.9802371541501977,1.233201581027668,558.0,253.0,1.7348,137500.0,NEAR BAY,1,0,0,0,0
-0.9831926015279454,0.901549463647199,40.0,3.9,1.21875,423.0,160.0,0.9506,187500.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.901549463647199,40.0,2.6875,1.0653409090909092,700.0,352.0,1.775,112500.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.901549463647199,21.0,2.045662100456621,1.0342465753424657,735.0,438.0,0.9218,171900.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.901549463647199,43.0,4.58968058968059,1.1203931203931203,1061.0,407.0,1.5045,93800.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.901549463647199,41.0,4.473611111111111,1.1847222222222222,1959.0,720.0,1.1108,97500.0,NEAR BAY,1,0,0,0,0
-0.9832730197024527,0.901549463647199,52.0,4.075,1.14,1162.0,400.0,1.2475,104200.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.901549463647199,52.0,5.021459227467811,1.0085836909871244,701.0,233.0,1.6098,87500.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.901549463647199,52.0,4.295454545454546,1.1045454545454545,576.0,220.0,1.4113,83100.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.901549463647199,52.0,4.77992277992278,1.111969111969112,622.0,259.0,1.5057,87500.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.901549463647199,52.0,6.102459016393443,1.3729508196721312,728.0,244.0,0.8172,85300.0,NEAR BAY,1,0,0,0,0
-0.9833534378769603,0.901549463647199,52.0,4.5625,1.1217105263157894,1074.0,304.0,1.2171,80300.0,NEAR BAY,1,0,0,0,0
-0.9834338560514677,0.901549463647199,2.0,2.7719298245614037,0.7543859649122807,94.0,57.0,2.5625,60000.0,NEAR BAY,1,0,0,0,0
-0.9834338560514677,0.9017878426698449,52.0,5.994652406417113,1.1283422459893049,554.0,187.0,3.3929,75700.0,NEAR BAY,1,0,0,0,0
-0.9834338560514677,0.901549463647199,49.0,5.869565217391305,1.2608695652173914,86.0,23.0,6.1183,75000.0,NEAR BAY,1,0,0,0,0
-0.9834338560514677,0.901311084624553,50.0,6.229508196721311,1.5573770491803278,377.0,122.0,0.9011,86100.0,NEAR BAY,1,0,0,0,0
-0.983514274225975,0.901311084624553,52.0,7.69811320754717,1.490566037735849,521.0,159.0,1.191,76100.0,NEAR BAY,1,0,0,0,0
